,ent1,ent2,relation
300,pregnancy  doctors,Caesarean  labor,perform
301,Challenges,how Choosing decisions,identifies
302,Many  recommendations,clinical  education,require clinical
303,even  they,questions,tend
304,they,which,paid
305,doctors,evidence-based  restraint,creates
306,Critics,medical  services,tend
307,treatment  they,amount,hesitant
308,they,extra  lawsuits,say
309,defensive tort campaign,even  them,questioned
310,many opinion tests,treatment standards,said
311,they,"societies"""".While  need",said
312,Care Allen campaign,payers  options,expressed
313,others  campaign,Obamacare,declare
314,Commandments  they,adequately  difficulties,criticize
315,rules  that,many  exceptions,said
316,Choosing,much patient care,suspect
317,single-payer healthcare single-payer healthcare,insurers health delivery costs,predict
318,2015  piece,Kurt Eichenwald Kurt controversy,described
319,which,basis,described
320,treating  depression,,said
321,doctor,symptoms,reported
322,Barriers,malpractice concern,included
323,Sinai Medical Center,Los Angeles Los 100,put
324,only  they,recommended  discussion,give
325,plans,own  efficacy,makes
326,impact Choosing they,care,have broad
327,25  %,least Medicare one,analyzed many
328,services,0.6  %,represented
329,campaign,,cited
330,German  Network,adapting Evidence Based concepts,considered
331,Choosing Wisely Choosing Canada,,launched
332,Choosing Wisely Choosing Canada,,organized
333,United States United doctors,how New ideas,exploring
334,how  patients,initiative,worried
335,five  doctors,five  that,B.
336,,,BMJ
337,,,344
338,,,doi:10.1136/bmj.e2601
339,,,PMID
340,,,S2CID
341,,2012 Wise Choices,M.
342,,,Journal
343,,,2245–2246
344,,,doi:10.1001/jama.2012.5341
345,,,PMID
346,5  Recommendations,5 Clinical Practice,More
347,,,Archives
348,,,1020–1022
349,,,doi:10.1001/archinternmed.2012.1943
350,,,PMID
351,,campaign  Zamosky,consider
352,,,Times
353,,,ISSN
354,,,Retrieved
355,2012 ABIM person,wisely breast conversation,posted
356,tachycardia  it,,type
357,nodal reentrant AV nodal tachycardia,,tachycardia
358,75  %,,occur
359,main  symptom,,palpitations
360,Treatment,,maneuvers
361,conducting radiofrequency tissue,radiofrequency ablation,require
362,AVNRT,,occurs
363,slow  which,anatomical  pathways,involves
364,which,anterior AV margin,located inferior
365,fast  pathway,,located
366,AV node AV authors,them,formed
367,accessory pathways accessory that,rise,confused
368,fast  pathways,electrophysiologic AV properties,located
369,that,rise,located
370,They,electrophysiologic  properties,provide
371,Signs,main  symptom,development
372,palpitations,,associated
373,rapid heart rate,,lead
374,cases  onset,,associated
375,someone,rarely  consciousness,experience
376,angina heart pain,chest heart pain,experience chest
377,palpitations,heavy  forwards,occur
378,onset,heart heart beat,sudden
379,eventual  termination,,continue
380,AVNRT heart rate,,beats
381,Close  inspection,neck  pulsation,reveal
382,fundamental  mechanism,,circuit
383,common  AVNRT,slow AV nodal pathway,take several
384,slow AV nodal pathway,,AVNRT
385,atrial anterograde that,AV node,use
386,ventricles P which,QRS complex,AVNRT).Because
387,result  time,,short
388,surface electrocardiogram surface they,V1 prime wave,short
389,so  anterograde,conduction,exist
390,inverted P that,inverted P wave,delayed
391,heart block,diagnosis,show typical
392,doctor,Holter monitor,request
393,recorder,diagnosis,show
394,skin  that,continuously heart activity,require
395,only  patient,further pain Treatment episodes,enable
396,treatments,physical  manoeuvres,include physical
397,action  that,transiently AV node,terminated
398,physical  that,activity,able
399,airway Valsalva that,AV node AV AVNRT,include
400,people  who,asthma,cause
401,,antiarrhythmic  drugs,used
402,then blood AVNRT,electrically  cardioversion,terminated
403,electric  shock,normal  rhythm,applied
404,preventative  treatment,unpleasant  symptoms,essential
405,those  who,further  treatment,become asymptomatic
406,who,term antiarrhythmic term medication,choose
407,first line drugs,,antagonists
408,drugs,further  episodes,effective
409,catheter ablation,potentially  cure,called
410,procedure,wires,involves
411,tip,electrical AV AVNRT,used
412,this,,weighed
413,Catheter  ablation,subsequently AV pacemaker,cure
414,External  links,polychlorinated  dibenzo-p-dioxin,= External
415,Pure  TCDD,,solid
416,It,,formed
417,TCDD,,compound
418,TCDD,,released
419,It,,pollutant
420,Mechanism,,act
421,genes  it,TCDD  expression,factor
422,Genes,enzymes  breakdown,examples
423,TCDD,enzymes,increases
424,polycyclic hydrocarbons,also AH receptor,activate
425,natural  compounds,vegetables  activation,cause
426,it,organism,viewed
427,Excessive  stimulation,,leads
428,physiological  function,,subject
429,obvious  function,foreign  chemicals,increase
430,,,seem
431,AH receptor,,factor
432,ancient  analogs,,proteins
433,knock-out  animals,,prone
434,together  this,physiological AH receptor function,implies
435,2000 Expert Group,developmental World Health toxicity,considered developmental
436,detailed  account,,given
437,Agent Orange Agent that,TCDD,observed
438,,,been
439,2006  meta-analysis,studies  lack,indicated large
440,Still-births,,defects
441,tooth  defects,,reported
442,,Seveso accident development defects,noted
443,developmental  effects,,shown
444,largely  TCDD,,agreed
445,cancer it,carcinogenicity,promotes
446,indirectly  one,addition  cancer,cause
447,,,are other
448,when life estrogen,,seem
449,TCDD,,classified
450,classification cohort risk,,weak
451,Therefore  classification,,based
452,This,,criticized
453,IARC classification IARC it,i.e.  carcinogenicity,is
454,doses  which,toxic  damage,were
455,further  studies,association,concluded
456,studies  subjects,,is
457,years Operation Ranch results,evidence,reported
458,latest  studies,Seveso population TCDD carcinogenicity,support
459,doses soft-tissue cancer,other soft-tissue sarcoma,provided
460,,,was
461,higher  doses,risk,called
462,Safety,FAO/WHO Expert Committee,recommendations
463,Environmental Protection Agency,TCDD reference discussion,established
464,environmental Aspen limit,,TEq
465,industrialized  countries,dioxin concentrations,have
466,Toxic Substance Disease levels,"soil 1,000 ppt intervention",determined
467,EPA,limits,considering
468,soil Animal toxicology,animal studies animal TCDD,increase
469,Almost  organs,,affected
470,huge dose animals,,anorexia
471,hamster guinea it,varying  sensitivities,have
472,similar  difference,,seen
473,away  responses,,seen
474,TCDD,also  balance,affects
475,severe liver toxicity,,seen
476,two  types,relevant  risk,considered
477,Developmental  effects,Developmental  effects,occur
478,They,frank teratogenicity,include
479,very  doses,development,sensitive
480,when dioxin concentrations,,important
481,Cancer Cancers,,induced
482,,doses  cancer,caused
483,rats liver this,,cancer
484,which  it,cancer,seem
485,cancer risk,body defense apoptosis,mutagenic
486,tissue damage tissue it,,associated
487,TCDD,carcinogenic  effects,potentiate
488,that,,benzo(a)pyrene
489,conjugation  molecules,DNA  mutation,produces
490,conjugation enzymes epoxide intermediates,possibility,increase
491,beneficial  activation,,lead
492,TCDD,,produced
493,It,certain synthesis side chlorophenols,formed
494,certain metal catalysts,,formed
495,thorough  treatise,,produced
496,greatest  production,,occurs
497,Dioxin production,usually combustion temperature,reduced
498,Total U.S. emissions,,reduced
499,,,TEq
500,where  people,,been numerous
501,Seveso  Italy,,exposed
502,Many  animals,local  food,died
503,acute  effects,,limited
504,fathers  who,slight  excess,seem
505,evidence,,suspected
506,NEPACCO  that,Agent Orange,poisoned
507,incident  city,,charged
508,This,,marked
509,measured  concentrations,,poisoned
510,This,,concentrations
511,They,,survived
512,poisoning,,happened
513,labs  compound,,found
514,crime  one,clear  evidence,failed
515,,,were few
516,presidential candidate Viktor Yushchenko,,poisoned
517,fat  which,"108,000  pg/g",measured
518,concentration,2  mg,implies
519,He,,suffered
520,area,,contaminated
521,aorta  diameter,localized  enlargement,See
522,They,usually  symptoms,cause
523,abdominal leg pain,,occur
524,Large  aneurysms,,felt
525,Rupture,,result
526,AAAs,,occur
527,Additional risk factors,smoking,include
528,Genetic  conditions,risk Marfan syndrome,include
529,AAAs,,form
530,85  %,,occur
531,United States United screening,,recommended
532,United Kingdom United screening,men,recommended
533,further  ultrasounds,,done
534,smoking,best  disease,way
535,Other  methods,high blood cholesterol,include
536,when  diameter,,recommended
537,Other  reasons,repair  presence,include
538,Repair,,surgery
539,shorter  hospital,lower  risk,has
540,,,appear
541,more  EVAR.AAAs,8  %,common
542,Rates,,one-fourth as high
543,cm  risk,,%
544,cm  risk,,%
545,ruptured,,%
546,aortic  aneurysms,,resulted
547,,,resulted
548,Signs,vast  majority,asymptomatic
549,aneurysm,sensations,become painful
550,complications,rupture,include
551,abdominal  mass,,noted
552,Bruits,,present
553,signs,severe  pain,include severe
554,pulses,,mass
555,bleeding,,lead
556,This,,lead
557,mortality,,high
558,percent  they,operating room,die
559,bleeding,,retroperitoneal
560,Rupture,also  connection,create
561,Flank  ecchymosis,,sign
562,,exact  causes,Causes
563,,,are
564,people  who,AAA,smoking
565,edema  which,,considered
566,Genetic  influence,,influences
567,AAA,,common
568,familial prevalence rate,,notable
569,disorder  that,higher  incidence,are many
570,mutation  which,lower  incidence,presumed
571,Other  hypotheses,,formulated
572,Connective tissue disorders,,associated
573,relapsing  polychondritis,aortic pseudoxanthoma aneurysm,cause abdominal
574,atherosclerosis  walls,atherosclerotic  burden,considered
575,occlusion  which,initial  defect,used
576,Other  causes,,include
577,histopathological  changes,,seen
578,changes,accumulation,include
579,inflammatory  infiltrate,,present
580,However  degradation,,seems
581,researchers,increased  expression,report
582,This,aortic  wall,leads
583,protease granzyme B,,suggested
584,it,,is
585,AAA  which,predilection,affect
586,histological  structure,,differ
587,bifurcation  wall,lesser  proportion,decreases
588,mechanical  tension,,higher
589,age  which,,decline
590,intraluminal  pressure,,contributes
591,lumen thrombus ILT which,turn  development,linked
592,aortic Diagnosis aneurysm,,diagnosed
593,when  walls,outline,show
594,However  outline,,visible
595,Ultrasonography,aneurysms  size,used
596,free peritoneal fluid,,detected
597,presence,bowel gas bowel usefulness,noninvasive
598,CT scan,planning % anatomy,has
599,rupture  it,retroperitoneal  fluid,detect retroperitoneal
600,Alternative,aneurysm  MRI,used
601,peak wall stress,diameter AAA rupture risk,ruptures
602,Medical  software,patient-specific rupture risk diagnosis,allows
603,type,accurately  location,shown
604,aortic Classification aneurysms,,divided
605,aneurysm,,defined
606,5.5  aneurysm,5.5  cm,considered
607,older  age,abdominal blood pain,suspected
608,Abdominal  pain,,present
609,imaging  diagnosis,usually  scanning,confirmed
610,suprarenal  aorta,,measures
611,diagnosis Aortic aneurysm rupture,,mistaken
612,years 65 who,history,recommends
613,group  who,screening,selective
614,women  who,,unclear
615,year  they,65,invites
616,65  arrange,65  programme,contact
617,one time screening,,recommended
618,This,risk,found
619,Swedish  guidelines,60  years,recommend
620,Australia,guideline,has
621,those  who,aortic  size,carried
622,3.0  this,,cm
623,treatment options,,management
624,Two  modes,,available
625,year  it,1  cm,recommended
626,Repair,,indicated
627,overall survival rate,,%
628,where  repair,life expectancy,indicated
629,mainstay,treatment  cessation,smoking
630,where  risk,repair  risk,indicated
631,AAA,,grows
632,aneurysm,higher  risk,shown
633,medical Medication therapy,growth rate,found
634,Blood pressure,,treated per usual
635,Surgery,when  repair,varies
636,comorbidities  that,operative life expectancy,influence
637,usually  size,usually  repair,support
638,repair Open repair repair,,indicated
639,cord  this,range,clamped
640,so  incision,fastest  repair,made large
641,Recovery,significant AAA time,takes significant
642,minimums,,days
643,established  role,established  repair,became practical
644,It,,indicated
645,endovascular  repair,,feasible
646,main  advantages,,are
647,Disadvantages,repair  requirement,include
648,aneurysm-related  mortality,benefit,offer
649,repair  EVAR,,associated
650,Endovascular  treatment,,possibility
651,2017 Cochrane review,tentative  evidence,found tentative
652,AAA  treatment,,repair
653,,permissive  use,appears
654,larger diameter<5.5 AAAs,rupture risk,known
655,10–24 %,,shown
656,13  %,also  that,reported
657,60  %,7.1  rupture,showed
658,unnecessary  AAAs,unnecessary  surgery,succumbed
659,Alternative  methods,,reported
660,majority,element method wall stress distributions,involve
661,stress distributions,,shown
662,when wall stress,wall strength,known
663,patient-specific wall stress,,accurate
664,non-invasive  method,patient-dependent wall strength,reported
665,Some,also AAA growth,include
666,post-operative  mortality,,decreased
667,post-operative mortality rate,,lower
668,Epidemiology occurrence,,varies
669,men  it,,older
670,It,,common
671,They,,occur
672,,,are
673,males  affected,,%
674,smokers  risk,,higher
675,U.S.  incidence,,%
676,65  mortality,,occurs
677,when Greek surgeon Antyllus,AAA,History
678,,However  AAA,attempts
679,who,aortic  ligation,performed
680,polyethene cellophane polyethene which,growth,included
681,Endovascular aneurysm repair,,performed
682,Endovascular repair,ruptured  aneurysm,used
683,Rudolph Nissen Rudolph who,aorta,operated
684,aneurysm,,ruptured
685,when  I,surgery,declined
686,It,life,tasteless
687,it,share,done
688,later 76.Actress Lucille Ball,it,died
689,death  she,,performed
690,increased  she,,risk
691,release  what,aneurysm  59,died
692,team,leg  it,said
693,stent  which,,contract
694,Actor Robert who,,Jacks
